Dataset,Algoritmo,Average SSIM,Average PSNR
ArtGallery2,FLV1,0.9358653650459742,35.96603385242522
ArtGallery2,MJPEG,0.9374091554872129,36.49012161246304
ArtGallery2,ProRes,0.9313711383212678,34.805144167467255
ArtGallery2,MPEG4,0.9353031783676609,35.99660788261034
ArtGallery2_random,FLV1,0.9319253254318283,35.58134876700419
ArtGallery2_random,MJPEG,0.9374091554872128,36.49012161246304
ArtGallery2_random,ProRes,0.9313711383212677,34.805144167467255
ArtGallery2_random,MPEG4,0.9304857414309641,35.578250860830245
Blob,FLV1,0.9338009741453193,37.278449719338454
Blob,MJPEG,0.9360882237361666,37.76047762314998
Blob,ProRes,0.9341528050408083,37.157496640434495
Blob,MPEG4,0.938856519378522,37.37516010186323
Blob_random,FLV1,0.9357035567719851,37.62104259155416
Blob_random,MJPEG,0.9360882237361666,37.76047762314998
Blob_random,ProRes,0.9341528050408083,37.157496640434495
Blob_random,MPEG4,0.9325325738912712,37.28459276855663
Car,FLV1,0.9487424232215246,35.34139028690386
Car,MJPEG,0.9495093718871196,35.51999984642359
Car,ProRes,0.9485920360849169,34.84602382783516
Car,MPEG4,0.9506878311308005,35.7761491839995
Car_random,FLV1,0.9418226571795641,34.790099731669976
Car_random,MJPEG,0.9495093718871196,35.51999984642359
Car_random,ProRes,0.9485920360849168,34.84602382783516
Car_random,MPEG4,0.9405549119495819,34.92806595942233
Cobblestone,FLV1,0.9083951364656639,31.73161983810674
Cobblestone,MJPEG,0.9032413017274347,31.212156009922086
Cobblestone,ProRes,0.9031567397917852,31.21277786823918
Cobblestone,MPEG4,0.9071973842496156,31.638747665590355
Cobblestone_random,FLV1,0.9025862798297182,31.380766107615898
Cobblestone_random,MJPEG,0.9032413017274348,31.212156009922086
Cobblestone_random,ProRes,0.9031567397917851,31.21277786823918
Cobblestone_random,MPEG4,0.8942273052081575,31.052692861151172
Dice,FLV1,0.9548543909905757,35.239875893862866
Dice,MJPEG,0.9580981683757726,36.30929095258343
Dice,ProRes,0.9589439800848613,34.696223646526974
Dice,MPEG4,0.9562728109672567,35.84107575255962
Dice_random,FLV1,0.9529606609794256,35.114307745126034
Dice_random,MJPEG,0.9580981683757724,36.30929095258343
Dice_random,ProRes,0.9589439800848614,34.69622364652697
Dice_random,MPEG4,0.9544290768172042,35.72281581088897
Dragons,FLV1,0.9062054225404386,32.63941823124062
Dragons,MJPEG,0.9011566046713628,32.429763364479086
Dragons,ProRes,0.9071603582868556,32.33987323406694
